"Search Criteria: "

"Filing Operator:",,,"APACHE CORPORATION (027200)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2016",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,7C,07930,"SPRABERRY (TREND AREA)","RINGO ""A""",,,,170,152,188,"   01  ",134,"1,125","1,125","   02  "
,Oil,7C,08035,"SPRABERRY (TREND AREA)","TURNER ""C""",,,,N/A,0,,,0,0,,
,Oil,7C,08069,"SPRABERRY (TREND AREA)",DIXON,,,5286,118,21,62,"   01  ",77,211,211,"   02  "
,Oil,7C,08276,"SPRABERRY (TREND AREA)","DIXON ""A""",,,5286,237,52,124,"   01  ",165,313,313,"   02  "
,Oil,7C,08304,"SPRABERRY (TREND AREA)",EXXON-COWDEN,,,,366,157,182,"   01  ",341,721,721,"   02  "
,Oil,7C,08470,"SPRABERRY (TREND AREA)","TALLEY ""A""",,,,149,63,,,212,759,759,"   02  "
,Oil,7C,08701,"SPRABERRY (TREND AREA)","UNIVERSITY ""17""",,,,348,539,539,"   01  ",348,"1,985","1,845","   02  "
,,,,,,,,,,,,,,,140,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,08702,"SPRABERRY (TREND AREA)","EXXON COWDEN ""B""",,,8669,189,416,479,"   01  ",126,"1,825",43,"   01  "
,,,,,,,,,,,,,,,"1,782","   02  "
,Oil,7C,08715,"SPRABERRY (TREND AREA)","TALLEY ""B""",,,,97,31,,,128,155,155,"   02  "
,Oil,7C,08770,"SPRABERRY (TREND AREA)",SAUNDERS,,,,162,101,179,"   01  ",84,"1,389","1,389","   02  "
,Oil,7C,08907,"SPRABERRY (TREND AREA)",SHAW,,,,268,377,346,"   01  ",299,899,899,"   02  "
,Oil,7C,08937,"SPRABERRY (TREND AREA)",STUMHOFFER,,,8668,0,0,,,0,0,,
,Oil,7C,08965,"SPRABERRY (TREND AREA)","DIXON, JIM",,,,114,0,,,114,0,,
,Oil,7C,09033,"SPRABERRY (TREND AREA)","EXXON-COWDEN ""D""",,,,33,52,60,"   01  ",25,232,232,"   02  "
,Oil,7C,09070,"SPRABERRY (TREND AREA)","EXXON COWDEN ""C""",,,8669,12,30,33,"   01  ",9,63,1,"   01  "
,,,,,,,,,,,,,,,62,"   02  "
,Oil,7C,09670,"SPRABERRY (TREND AREA)",MITCHELL,,,,69,150,83,"   01  ",136,314,314,"   02  "
,Oil,7C,10711,"SPRABERRY (TREND AREA)","SUGG, ELA 53",,,0883,3,0,,,3,1,1,"   02  "
,Oil,7C,10823,"SPRABERRY (TREND AREA)","SUGG ""35""",,,,238,256,360,"   01  ",134,33,33,"   02  "
,Oil,7C,11076,"SPRABERRY (TREND AREA)","KESSLER ""77""",,,,161,23,,,184,0,,
,Oil,7C,11134,"SPRABERRY (TREND AREA)","ADAMS, ANNA",,,,414,469,701,"   01  ",182,"2,933","2,933","   03  "
,Oil,7C,11135,"SPRABERRY (TREND AREA)","EXXON COWDEN ""E""",,,5781,93,227,248,"   01  ",72,"1,052","1,052","   02  "
,Oil,7C,11777,"SPRABERRY (TREND AREA)","STEVENSON ""24""",,,,66,83,,,149,268,268,"   02  "
,Oil,7C,11813,"SPRABERRY (TREND AREA)",BROWN-MURPHEY,,,,117,0,,,117,0,,
,Oil,7C,11827,"SPRABERRY (TREND AREA)","STEVENSON ""26""",,,,61,113,,,174,724,724,"   02  "
,Oil,7C,11979,"SPRABERRY (TREND AREA)","UNIVERSITY ""2""",,,,142,0,,,142,0,,
,Oil,7C,12215,"SPRABERRY (TREND AREA)","STEVENSON ""26A""",,,,182,83,160,"   01  ",105,693,693,"   02  "
,Oil,7C,12226,"SPRABERRY (TREND AREA)","STUMHOFFER ""A""",,,8668,209,9,,,218,0,,
,Oil,7C,12324,"SPRABERRY (TREND AREA)","SAU 5",,,,620,"2,618","2,686","   00  ",552,"19,441","19,441","   03  "
,Oil,7C,12348,"SPRABERRY (TREND AREA)","SAU 44",,,,385,"1,614","1,555","   00  ",444,"13,255","13,255","   03  "
,Oil,7C,12367,"SPRABERRY (TREND AREA)","SAU 7",,,5366,84,196,235,"   00  ",45,"1,593","1,593","   03  "
,Oil,7C,12378,"SPRABERRY (TREND AREA)","SAU 8",,,,669,"1,685","1,977","   00  ",377,"14,651","14,651","   03  "
,Oil,7C,12390,"SPRABERRY (TREND AREA)","SAU 25",,,5355,388,370,653,"   00  ",105,"2,811","2,811","   03  "
,Oil,7C,12391,"SPRABERRY (TREND AREA)","SAU MARINER 45",,,5334,149,187,198,"   00  ",138,"1,342","1,342","   03  "
,Oil,7C,12402,"SPRABERRY (TREND AREA)","SAU 6",,,,427,765,883,"   00  ",309,"5,840","5,839","   03  "
,,,,,,,,,,,,,,,1,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
Y,Oil,7C,12484,"SPRABERRY (TREND AREA)","SAU 9",,,,418,862,903,"   00  ",377,"8,129","8,129","   03  "
,Oil,7C,12720,"SPRABERRY (TREND AREA)","SUGG ""A""",,,,95,113,,,208,11,11,"   03  "
,Oil,7C,12828,"SPRABERRY (TREND AREA)","SAU MARINER 43",,,,317,304,294,"   00  ",327,"2,802","2,802","   03  "
,Oil,7C,12850,"SPRABERRY (TREND AREA)","SAU 17-1",,,,16,95,84,"   00  ",27,748,748,"   03  "
,Oil,7C,12853,"SPRABERRY (TREND AREA)","SAU 1-1",,,,257,94,,,351,"1,070","1,070","   03  "
,Oil,7C,12895,"SPRABERRY (TREND AREA)","SAU 42",,,,287,64,228,"   00  ",123,584,584,"   03  "
,Oil,7C,12910,"SPRABERRY (TREND AREA)","SAU 12",,,,268,426,438,"   00  ",256,"3,158","3,158","   03  "
,Oil,7C,12934,"SPRABERRY (TREND AREA)","SAU 11",,,,50,96,77,"   00  ",69,805,805,"   03  "
,Oil,7C,12944,"SPRABERRY (TREND AREA)","SAU 31-3",,,,107,178,185,"   00  ",100,"2,211","2,211","   03  "
,Oil,7C,12952,"SPRABERRY (TREND AREA)","SAU 41-1",,,5361,0,0,,,0,0,,
,Oil,7C,12970,"SPRABERRY (TREND AREA)","SAU 1-3",,,,529,406,710,"   00  ",225,"3,036","3,036","   03  "
,Oil,7C,12982,"SPRABERRY (TREND AREA)","SAU 17-2",,,,450,"1,257","1,374","   00  ",333,"4,547","4,547","   03  "
,Oil,7C,12996,"SPRABERRY (TREND AREA)","SAU 17-4",,,,281,443,586,"   00  ",138,"4,408","4,408","   03  "
,Oil,7C,13002,"SPRABERRY (TREND AREA)","SAU MARINER 29",,,,277,165,220,"   00  ",222,"2,078","2,078","   03  "
,Oil,7C,13130,"SPRABERRY (TREND AREA)","SAU 1-2",,,,94,179,,,273,"1,929","1,929","   03  "
,Oil,7C,13138,"SPRABERRY (TREND AREA)","SAU 40-2",,,5333,17,79,58,"   00  ",38,"1,458","1,458","   03  "
,Oil,7C,13146,"SPRABERRY (TREND AREA)","SAU 28-2",,,,142,348,235,"   00  ",255,"2,925","2,925","   03  "
,Oil,7C,13153,"SPRABERRY (TREND AREA)","SAU 28-1",,,,94,207,,,301,"2,528","2,528","   03  "
,Oil,7C,13156,"SPRABERRY (TREND AREA)","SAU 33-1",,,,266,195,220,"   00  ",241,"1,837","1,837","   03  "
,Oil,7C,13167,"SPRABERRY (TREND AREA)","SAU 18-2",,,5305,251,425,540,"   00  ",136,"3,588","3,588","   03  "
,Oil,7C,13216,"SPRABERRY (TREND AREA)","SAU 17-3",,,,280,256,237,"   00  ",299,"1,803","1,803","   03  "
,Oil,7C,13392,"SPRABERRY (TREND AREA)","SAU 25-2",,,,334,299,560,"   00  ",73,"1,912","1,912","   03  "
,Oil,7C,13462,"SPRABERRY (TREND AREA)","SAU 11-2",,,,28,53,46,"   00  ",35,494,494,"   03  "
,Oil,7C,13471,"SPRABERRY (TREND AREA)","SAU 12-2",,,,279,"1,313","1,227","   00  ",365,"7,085","7,085","   03  "
,Oil,7C,13474,"SPRABERRY (TREND AREA)","SAU 12-4",,,,298,956,945,"   00  ",309,"4,993","4,993","   03  "
,Oil,7C,13477,"SPRABERRY (TREND AREA)","SAU 6H-1",,,,200,274,240,"   00  ",234,"2,658","2,658","   03  "
,Oil,7C,13481,"SPRABERRY (TREND AREA)","SAU 12-3",,,,347,993,"1,001","   00  ",339,"6,129","6,129","   03  "
,Oil,7C,13507,"SPRABERRY (TREND AREA)","SAU 7-3",,,5328,122,221,292,"   00  ",51,"1,944","1,944","   03  "
,Oil,7C,13510,"SPRABERRY (TREND AREA)","SAU 41-2",,,5360,27,86,96,"   00  ",17,540,540,"   03  "
,Oil,7C,13534,"SPRABERRY (TREND AREA)","SAU 42-4",,,,264,"1,042","1,117","   00  ",189,"6,616","6,616","   03  "
,Oil,7C,13540,"SPRABERRY (TREND AREA)","SAU 21-3",,,5308,390,441,414,"   00  ",417,"3,324","3,324","   03  "
,Oil,7C,13546,"SPRABERRY (TREND AREA)","SAU 2-1",,,,61,301,326,"   00  ",36,"2,606","2,606","   03  "
,Oil,7C,13912,"SPRABERRY (TREND AREA)","BOYD, O. F. -A-",,,,0,0,,,0,0,,
,Oil,7C,13913,"SPRABERRY (TREND AREA)","DOUGLAS, -28-",,,,0,0,,,0,0,,
Y,Oil,7C,14269,"SPRABERRY (TREND AREA)",DOUGLAS,,,,77,0,,,77,0,,
,Oil,7C,14273,"SPRABERRY (TREND AREA)","DANIELS -A-",,,,223,64,179,"   01  ",108,277,97,"   02  "
,,,,,,,,,,,,,,,180,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,14275,"SPRABERRY (TREND AREA)",SNOWDEN,,,,93,51,,,144,192,72,"   02  "
,,,,,,,,,,,,,,,120,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,14277,"SPRABERRY (TREND AREA)",MIGEL,,,,61,14,,,75,209,209,"   02  "
,Oil,7C,14452,"SPRABERRY (TREND AREA)","MCELROY RANCH ""C""",,,0345,5,52,55,"   00  ",2,670,670,"   03  "
,Oil,7C,14468,"SPRABERRY (TREND AREA)","MCELROY RANCH 129",,,0345,90,"1,031","1,076","   00  ",45,"14,489","14,489","   03  "
,Oil,7C,14492,"SPRABERRY (TREND AREA)","WINDHAM, R. S. 101",,,0345,23,208,222,"   00  ",9,"3,646","3,646","   03  "
Y,Oil,7C,14509,"SPRABERRY (TREND AREA)","MCELROY RANCH CO. 130",,,0345,30,301,307,"   00  ",24,"4,819","4,819","   03  "
,Oil,7C,14534,"SPRABERRY (TREND AREA)","WINDHAM, R. S.",,,0345,60,572,607,"   00  ",25,"4,096","4,096","   03  "
,Oil,7C,14536,"SPRABERRY (TREND AREA)","SAU 33-3",,,,304,337,452,"   00  ",189,"3,594","3,594","   03  "
,Oil,7C,14537,"SPRABERRY (TREND AREA)","SAU 28-3",,,5330,184,221,312,"   00  ",93,"2,177","2,177","   03  "
,Oil,7C,14546,"SPRABERRY (TREND AREA)","SAU 21-4",,,,88,212,214,"   01  ",86,"1,877","1,877","   03  "
,Oil,7C,14549,"SPRABERRY (TREND AREA)","R.S. WINDHAM 118",,,0345,35,268,291,"   00  ",12,"4,555","4,555","   03  "
Y,Oil,7C,14550,"SPRABERRY (TREND AREA)","MCELROY RANCH 117",,,0345,67,790,809,"   00  ",48,"8,828","8,828","   03  "
,Oil,7C,14552,"SPRABERRY (TREND AREA)","SAU 28-4",,,,139,368,368,"   00  ",139,"3,204","3,204","   03  "
,Oil,7C,14562,"SPRABERRY (TREND AREA)","SAU 19-2",,,,91,125,,,216,923,923,"   03  "
,Oil,7C,14659,"SPRABERRY (TREND AREA)","NEAL, H. F. ""C""",,,,0,0,,,0,0,,
,Oil,7C,14682,"SPRABERRY (TREND AREA)","NEAL RANCH ""56""",,,,244,64,176,"   01  ",132,0,,
,Oil,7C,14703,"SPRABERRY (TREND AREA)","NEAL RANCH ""44""",,,,334,114,179,"   01  ",269,58,58,"   03  "
Y,Oil,7C,14718,"SPRABERRY (TREND AREA)","MCELROY ""115""",,,0345,33,481,476,"   00  ",38,"6,733","6,733","   03  "
,Oil,7C,14754,"SPRABERRY (TREND AREA)","SAU 33-2",,,,250,140,202,"   00  ",188,"2,911","2,911","   03  "
,Oil,7C,14762,"SPRABERRY (TREND AREA)","SAU 33-4",,,,159,185,227,"   00  ",117,"2,733","2,733","   03  "
,Oil,7C,14779,"SPRABERRY (TREND AREA)","SAU 18-1",,,,313,672,592,"   00  ",152,"4,108","4,108","   03  "
,,,,,,,,,,,241,"   01  ",,,,
,Oil,7C,14780,"SPRABERRY (TREND AREA)","SUGG-SCOTT UNIT 1208-E",,,5651,0,0,,,0,0,,
,Oil,7C,14784,"SPRABERRY (TREND AREA)","SAU 19-3",,,,55,0,,,55,0,,
,Oil,7C,14805,"SPRABERRY (TREND AREA)","SAU 21-2",,,,194,130,223,"   00  ",101,"1,151","1,151","   03  "
,Oil,7C,14806,"SPRABERRY (TREND AREA)","SAU MARINER 20-1",,,,278,388,370,"   00  ",296,"3,773","3,773","   03  "
,Oil,7C,14807,"SPRABERRY (TREND AREA)","SAU 20-2",,,,408,751,851,"   00  ",308,"7,936","7,936","   03  "
,Oil,7C,14816,"SPRABERRY (TREND AREA)","WINDHAM ""120""",,,0345,22,208,221,"   00  ",9,"4,320","4,320","   03  "
,Oil,7C,15329,"SPRABERRY (TREND AREA)","SAU 4",,,5363,22,88,81,"   00  ",29,"1,497","1,497","   03  "
,Oil,7C,15351,"SPRABERRY (TREND AREA)","SAU 21-1A",,,,261,170,230,"   00  ",201,"1,570","1,570","   03  "
,Oil,7C,15354,"SPRABERRY (TREND AREA)","SAU 19-1A",,,,287,181,324,"   00  ",144,"1,428","1,428","   03  "
,Oil,7C,15368,"SPRABERRY (TREND AREA)",SCHAEFER-A-,,,5315,38,56,80,"   01  ",14,"1,162","1,162","   02  "
,Oil,7C,15371,"SPRABERRY (TREND AREA)","SAU 4-1",,,,253,374,495,"   00  ",132,"6,270","6,270","   03  "
,Oil,7C,15375,"SPRABERRY (TREND AREA)","SAU 18-4",,,5307,39,101,104,"   00  ",36,586,586,"   03  "
,Oil,7C,15389,"SPRABERRY (TREND AREA)","SAU 45-2A",,,5362,152,46,,,198,774,774,"   03  "
,Oil,7C,15404,"SPRABERRY (TREND AREA)","SAU 40-1A",,,5333,19,79,60,"   00  ",38,972,972,"   03  "
,Oil,7C,15407,"SPRABERRY (TREND AREA)","SAU 32-2A",,,,301,581,609,"   00  ",273,"5,678","5,678","   03  "
,Oil,7C,15415,"SPRABERRY (TREND AREA)","UNIVERSITY ""6""",,,7687,3,25,22,"   01  ",6,230,19,"   01  "
,,,,,,,,,,,,,,,107,"   02  "
,,,,,,,,,,,,,,,104,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,15416,"SPRABERRY (TREND AREA)","UNIVERSITY ""23""",,,7687,0,0,,,0,0,,
,Oil,7C,15417,"SPRABERRY (TREND AREA)","UNIVERSITY ""24""",,,7687,44,257,241,"   01  ",60,340,29,"   01  "
,,,,,,,,,,,,,,,157,"   02  "
,,,,,,,,,,,,,,,154,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,15418,"SPRABERRY (TREND AREA)","UNIVERSITY ""25""",,,7687,19,86,85,"   01  ",20,115,10,"   01  "
,,,,,,,,,,,,,,,53,"   02  "
,,,,,,,,,,,,,,,52,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,15419,"SPRABERRY (TREND AREA)","UNIVERSITY ""26""",,,7687,9,0,9,"   01  ",0,458,39,"   01  "
,,,,,,,,,,,,,,,212,"   02  "
,,,,,,,,,,,,,,,207,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,15428,"SPRABERRY (TREND AREA)","SAU 32-1A",,,5365,127,57,,,184,"1,195","1,195","   03  "
,Oil,7C,15443,"SPRABERRY (TREND AREA)","SAU 18-3",,,5356,370,996,"1,227","   00  ",139,"5,301","5,301","   03  "
,Oil,7C,15446,"SPRABERRY (TREND AREA)","SAU 6-2A",,,,41,70,86,"   00  ",25,891,891,"   03  "
,Oil,7C,15451,"SPRABERRY (TREND AREA)","SAU 18-4A",,,5307,179,634,587,"   00  ",226,"2,863","2,863","   03  "
,Oil,7C,15465,"SPRABERRY (TREND AREA)","SAU 7-4",,,5329,52,100,129,"   00  ",23,"1,417","1,417","   03  "
,Oil,7C,15467,"SPRABERRY (TREND AREA)","SAU 18-2A",,,5305,75,110,150,"   00  ",35,766,766,"   03  "
,Oil,7C,15468,"SPRABERRY (TREND AREA)","SAU 9-3",,,,207,256,247,"   00  ",216,"2,835","2,835","   03  "
,Oil,7C,15513,"SPRABERRY (TREND AREA)","SAU 41-3",,,5360,292,839,966,"   00  ",165,"5,177","5,177","   03  "
,Oil,7C,15514,"SPRABERRY (TREND AREA)","SAU 6-3A",,,,104,36,111,"   00  ",29,632,632,"   03  "
,Oil,7C,15522,"SPRABERRY (TREND AREA)","SAU 7-1A",,,5328,62,85,127,"   00  ",20,"1,327","1,327","   03  "
,Oil,7C,15529,"SPRABERRY (TREND AREA)","SAU 45-3",,,5334,28,30,36,"   00  ",22,714,714,"   03  "
,Oil,7C,15531,"SPRABERRY (TREND AREA)","SAU MARINER 41-4",,,5361,103,59,,,162,974,974,"   03  "
,Oil,7C,15532,"SPRABERRY (TREND AREA)","SAU MARINER 40-1B",,,5333,9,41,30,"   00  ",20,707,707,"   03  "
,Oil,7C,15533,"SPRABERRY (TREND AREA)","SAU MARINER 28-3B",,,5330,65,83,113,"   00  ",35,"1,377","1,377","   03  "
,Oil,7C,15537,"SPRABERRY (TREND AREA)","SAU MARINER 40-2A",,,5333,11,41,32,"   00  ",20,551,551,"   03  "
,Oil,7C,15540,"SPRABERRY (TREND AREA)","SAU MARINER 40-3",,,5333,13,89,60,"   00  ",42,"1,167","1,167","   03  "
,Oil,7C,15543,"SPRABERRY (TREND AREA)","SAU MARINER 7-4B",,,5329,33,96,107,"   00  ",22,"1,218","1,218","   03  "
,Oil,7C,15549,"SPRABERRY (TREND AREA)","SAU MARINER 4-6",,,5363,0,0,,,0,0,,
,Oil,7C,15550,"SPRABERRY (TREND AREA)","SAU MARINER 4-5",,,5363,12,49,45,"   00  ",16,792,792,"   03  "
,Oil,7C,15635,"SPRABERRY (TREND AREA)","SAU MARINER 7-2C",,,5366,45,71,100,"   00  ",16,730,730,"   03  "
,Oil,7C,15638,"SPRABERRY (TREND AREA)","SAU MARINER 45-2",,,5362,121,35,,,156,470,470,"   03  "
,Oil,7C,15640,"SPRABERRY (TREND AREA)","SAU MARINER 32-1B",,,5365,0,0,,,0,0,,
,Oil,7C,15641,"SPRABERRY (TREND AREA)","SAU MARINER 4-4B",,,5363,9,37,34,"   00  ",12,"1,189","1,189","   03  "
,Oil,7C,15646,"SPRABERRY (TREND AREA)","SAU MARINER 40-3A",,,5333,13,55,42,"   00  ",26,452,452,"   03  "
,Oil,7C,15648,"SPRABERRY (TREND AREA)","SAU MARINER 45-3A",,,5334,34,45,46,"   00  ",33,441,441,"   03  "
,Oil,7C,15649,"SPRABERRY (TREND AREA)","SAU MARINER 41-1A",,,5361,50,40,,,90,113,113,"   03  "
,Oil,7C,15656,"SPRABERRY (TREND AREA)","SAU MARINER 41-2B",,,5360,18,58,65,"   00  ",11,554,554,"   03  "
,Oil,7C,15666,"SPRABERRY (TREND AREA)","SAU MARINER 15-2",,,,267,213,220,"   00  ",260,"2,661","2,661","   03  "
,Oil,7C,15686,"SPRABERRY (TREND AREA)","SAU MARINER 30-2",,,,117,213,197,"   00  ",133,"1,286","1,286","   03  "
,Oil,7C,15690,"SPRABERRY (TREND AREA)","SAU MARINER 29-4A",,,,65,105,,,170,"1,959","1,959","   03  "
,Oil,7C,15697,"SPRABERRY (TREND AREA)","SAU MARINER 31-2",,,,388,196,329,"   00  ",255,"2,507","2,507","   03  "
,Oil,7C,15736,"SPRABERRY (TREND AREA)","SAU MARINER 30-4A",,,,275,191,234,"   00  ",232,"1,343","1,343","   03  "
,Oil,7C,15751,"SPRABERRY (TREND AREA)","SAU MARINER 29-3",,,,50,43,71,"   00  ",22,977,977,"   03  "
,Oil,7C,15753,"SPRABERRY (TREND AREA)","SAU MARINER 29-3B",,,,259,189,352,"   00  ",96,"2,271","2,271","   03  "
,Oil,7C,15760,"SPRABERRY (TREND AREA)","SAU MARINER 17-1B",,,,12,50,48,"   00  ",14,441,441,"   03  "
,Oil,7C,15769,"SPRABERRY (TREND AREA)","SAU MARINER 4-5A",,,,7,25,24,"   00  ",8,484,484,"   03  "
,Oil,7C,15821,"SPRABERRY (TREND AREA)","SAU MARINER 29-2",,,,25,42,46,"   00  ",21,535,535,"   03  "
,Oil,7C,15830,"SPRABERRY (TREND AREA)","SAU MARINER 6-3B",,,,92,39,100,"   00  ",31,422,422,"   03  "
,Oil,7C,15833,"SPRABERRY (TREND AREA)","SAU MARINER 1-4C",,,,0,0,,,0,0,,
,Oil,7C,15965,"SPRABERRY (TREND AREA)","SAU MARINER 43-4A",,,,183,275,220,"   00  ",238,"2,912","2,912","   03  "
,Oil,7C,15967,"SPRABERRY (TREND AREA)","SAU MARINER 42-2A",,,,161,122,123,"   00  ",160,851,851,"   03  "
,Oil,7C,15978,"SPRABERRY (TREND AREA)","SAU MARINER 42-2",,,,28,64,28,"   00  ",64,662,662,"   03  "
,Oil,7C,15979,"SPRABERRY (TREND AREA)","SAU MARINER 28-4B",,,,29,72,74,"   00  ",27,"1,344","1,344","   03  "
,Oil,7C,15998,"SPRABERRY (TREND AREA)","SAU MARINER 29-4B",,,,36,59,,,95,"1,224","1,224","   03  "
,Oil,7C,16005,"SPRABERRY (TREND AREA)","SAU MARINER 42-2B",,,,73,35,58,"   00  ",50,669,669,"   03  "
,Oil,7C,16029,"SPRABERRY (TREND AREA)","SAU MARINER 24-2",,,,156,174,221,"   00  ",109,"1,014","1,014","   03  "
,Oil,7C,16032,"SPRABERRY (TREND AREA)","SAU MARINER 20-3A",,,,26,66,68,"   00  ",24,"1,841","1,841","   03  "
,Oil,7C,16043,"SPRABERRY (TREND AREA)","SAU MARINER 20-4",,,,192,86,155,"   00  ",123,"1,523","1,523","   03  "
,Oil,7C,16059,"SPRABERRY (TREND AREA)","SAU 20-3",,,,230,547,575,"   00  ",202,"6,640","6,640","   03  "
,Oil,7C,16063,"SPRABERRY (TREND AREA)","WEATHERBY 1232",,,0743,686,"11,669","11,985","   00  ",370,"19,549","19,549","   03  "
,Oil,7C,16085,"SPRABERRY (TREND AREA)","SAU MARINER 15",,,,277,206,247,"   00  ",236,"3,968","3,968","   03  "
,Oil,7C,16156,"SPRABERRY (TREND AREA)","UNIVERSITY -6D-",,,7687,6,35,33,"   01  ",8,562,47,"   01  "
,,,,,,,,,,,,,,,260,"   02  "
,,,,,,,,,,,,,,,255,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16157,"SPRABERRY (TREND AREA)","UNIVERSITY -6C-",,,7687,25,85,90,"   01  ",20,240,20,"   01  "
,,,,,,,,,,,,,,,111,"   02  "
,,,,,,,,,,,,,,,109,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16158,"SPRABERRY (TREND AREA)","UNIVERSITY -23B-",,,7687,25,180,163,"   01  ",42,115,10,"   01  "
,,,,,,,,,,,,,,,53,"   02  "
,,,,,,,,,,,,,,,52,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16159,"SPRABERRY (TREND AREA)","UNIVERSITY -23C-",,,7687,0,0,,,0,0,,
,Oil,7C,16160,"SPRABERRY (TREND AREA)","UNIVERSITY -23D-",,,7687,19,95,92,"   01  ",22,126,11,"   01  "
,,,,,,,,,,,,,,,58,"   02  "
,,,,,,,,,,,,,,,57,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16161,"SPRABERRY (TREND AREA)","UNIVERSITY -24B-",,,7687,30,81,92,"   01  ",19,332,28,"   01  "
,,,,,,,,,,,,,,,154,"   02  "
,,,,,,,,,,,,,,,150,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16162,"SPRABERRY (TREND AREA)","UNIVERSITY -24C-",,,7687,41,166,168,"   01  ",39,174,15,"   01  "
,,,,,,,,,,,,,,,80,"   02  "
,,,,,,,,,,,,,,,79,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16163,"SPRABERRY (TREND AREA)","UNIVERSITY -24D-",,,7687,0,0,,,0,0,,
,Oil,7C,16164,"SPRABERRY (TREND AREA)","UNIVERSITY -25C-",,,7687,1,0,1,"   01  ",0,0,,
,Oil,7C,16165,"SPRABERRY (TREND AREA)","UNIVERSITY -25B-",,,7687,0,0,,,0,0,,
,Oil,7C,16166,"SPRABERRY (TREND AREA)","UNIVERSITY -3B-",,,7687,0,0,,,0,0,,
,Oil,7C,16167,"SPRABERRY (TREND AREA)","UNIVERSITY -3C-",,,7687,7,37,35,"   01  ",9,73,6,"   01  "
,,,,,,,,,,,,,,,34,"   02  "
,,,,,,,,,,,,,,,33,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16168,"SPRABERRY (TREND AREA)","UNIVERSITY -26B-",,,7687,41,199,193,"   01  ",47,600,51,"   01  "
,,,,,,,,,,,,,,,277,"   02  "
,,,,,,,,,,,,,,,272,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16169,"SPRABERRY (TREND AREA)","UNIVERSITY -26C-",,,7687,9,63,57,"   01  ",15,33,3,"   01  "
,,,,,,,,,,,,,,,15,"   02  "
,,,,,,,,,,,,,,,15,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16170,"SPRABERRY (TREND AREA)","UNIVERSITY -26D-",,,7687,16,107,98,"   01  ",25,495,42,"   01  "
,,,,,,,,,,,,,,,229,"   02  "
,,,,,,,,,,,,,,,224,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16171,"SPRABERRY (TREND AREA)","WEST TEXON UNIVERSITY 17",,,,154,294,181,"   01  ",267,488,353,"   02  "
,,,,,,,,,,,,,,,135,"   04  "
,,,,,,,,,"Gas 04 FLARE/VENT",,,,,,,
,Oil,7C,16271,"SPRABERRY (TREND AREA)","SAU MARINER 31-4",,,,257,143,256,"   00  ",144,"2,065","2,065","   03  "
,Oil,7C,16321,"SPRABERRY (TREND AREA)","SAU MARINER 30-3",,,,137,377,233,"   00  ",281,"3,233","3,233","   03  "
,Oil,7C,16322,"SPRABERRY (TREND AREA)","SAU MARINER 30-1",,,,85,301,199,"   00  ",187,"2,069","2,069","   03  "
,Oil,7C,16333,"SPRABERRY (TREND AREA)","SAU MARINER 29-2A",,,,102,158,181,"   00  ",79,"1,524","1,524","   03  "
,Oil,7C,16463,"SPRABERRY (TREND AREA)","SAU MARINER 36-2",,,,73,148,173,"   00  ",48,"1,787","1,787","   03  "
,Oil,7C,16464,"SPRABERRY (TREND AREA)","SAU MARINER 36-1",,,,26,53,62,"   00  ",17,817,817,"   03  "
